beta,seed,n,k,lag,real,imag
1.0001,10,1000000,1,4096,0.349468334464854,0.096325209138165
1.0001,10,50000,4,1,0.9989388567778018,-0.0004408095514591565
1.0001,10,50000,4,64,0.929897329858181,-0.03381332823976561
1.0001,10,50000,4,1024,0.26456413477525265,-0.357531013608495
1.0001,10,50000,4,4096,-0.1465778815792772,-0.033439886552187395
1.0001,10,200000,4,1,0.999317367283065,6.444584280323433e-05
1.0001,10,200000,4,64,0.9526086229106514,0.004384957206911353
1.0001,10,200000,4,1024,0.47807187922100647,0.04713500836358881
1.0001,10,200000,4,4096,-0.056418223594786744,0.10477468661424943
1.0001,10,1000000,4,1,0.999040742923438,9.251025254079448e-05
1.0001,10,1000000,4,64,0.9397054407598282,0.0056579842989712605
1.0001,10,1000000,4,1024,0.36355043068919046,0.07945504665518142
1.0001,10,1000000,4,4096,-0.06329756338809925,0.09248135869479832
1.0001,11,50000,1,1,0.9998269149246872,-1.533855084789789e-05
1.0001,11,50000,1,64,0.9890350390010926,-0.0005668869254806685
1.0001,11,50000,1,1024,0.8287746596245593,-0.03166949705103668
1.0001,11,50000,1,4096,0.463462815720347,0.11573278781796167
1.0001,11,200000,1,1,0.9997513988665077,-1.0796378976533787e-05
1.0001,11,200000,1,64,0.9842880498284431,-0.00048758911539805973
1.0001,11,200000,1,1024,0.7851537860049478,-0.009655264065370683
1.0001,11,200000,1,4096,0.334492234408107,0.07805464512911896
1.0001,11,1000000,1,1,0.9998050047560659,-6.938078106741809e-06
1.0001,11,1000000,1,64,0.9875945726692714,-0.00038558894225648103
1.0001,11,1000000,1,1024,0.8182787920207523,-0.004673522605760626
1.0001,11,1000000,1,4096,0.4694396995890637,0.009597674658735475
1.0001,11,50000,4,1,0.9994664008547,-0.000325831273403194
1.0001,11,50000,4,64,0.9666794340627284,-0.01863606493056144
1.0001,11,50000,4,1024,0.5456999327599805,-0.14679331004226992
1.0001,11,50000,4,4096,-0.02762806540279027,0.1605801449549929
1.0001,11,200000,4,1,0.9989100742048699,-0.0002637647324552462
1.0001,11,200000,4,64,0.9355263064985639,-0.01429900905542754
1.0001,11,200000,4,1024,0.3265425036057142,-0.0686071442284617
1.0001,11,200000,4,4096,-0.0014354803724382164,0.0677676445170624
1.0001,11,1000000,4,1,0.9992290341595057,-7.634946882081424e-05
1.0001,11,1000000,4,64,0.9527461445348268,-0.004806290387553632
1.0001,11,1000000,4,1024,0.44817614720153626,-0.038054513108053904
1.0001,11,1000000,4,4096,0.132333419051412,-0.007047682534177847
1.0001,12,50000,1,1,0.9997383783226188,-0.00011003787069867623
1.0001,12,50000,1,64,0.9828102440275898,-0.006648542569451764
1.0001,12,50000,1,1024,0.7455005575878951,-0.08393969765903991
1.0001,12,50000,1,4096,0.27960688340269196,0.0008587915970408065
1.0001,12,200000,1,1,0.9997299031430462,-4.370125857292986e-05
1.0001,12,200000,1,64,0.9828586195485857,-0.002557810458157935
1.0001,12,200000,1,1024,0.7636328495662547,-0.029225085949681835
1.0001,12,200000,1,4096,0.2878296356806173,-0.054706589523086914
1.0001,12,1000000,1,1,0.9997975079619387,-1.1357522485007438e-05
1.0001,12,1000000,1,64,0.9871407127664791,-0.0007225544343357404
1.0001,12,1000000,1,1024,0.8164567312089305,-0.0190844625810778
1.0001,12,1000000,1,4096,0.4334539503661792,-0.08671764281306212
1.0001,12,50000,4,1,0.9991968321623583,-0.0004320456420203488
1.0001,12,50000,4,64,0.940860868419524,-0.025830109469690173
1.0001,12,50000,4,1024,0.3056147533979937,-0.27872618273380384
1.0001,12,50000,4,4096,-0.027580271647117228,-0.055637470393026314
1.0001,12,200000,4,1,0.9988711915386985,-0.00025839626200169967
1.0001,12,200000,4,64,0.9279831245284248,-0.01632073744582415
1.0001,12,200000,4,1024,0.21348288920190311,-0.098785825543161
1.0001,12,200000,4,4096,0.031605997190672315,-0.07534107608049878
1.0001,12,1000000,4,1,0.9991787139835184,-4.544162813238538e-05
1.0001,12,1000000,4,64,0.9488047965533124,-0.002210642962880726
1.0001,12,1000000,4,1024,0.4397736005914494,-0.019126906497722782
1.0001,12,1000000,4,4096,0.08920840406473189,-0.0512340948033552
1.0001,13,50000,1,1,0.9998350298667361,-3.201131264244347e-05
1.0001,13,50000,1,64,0.9900677591325472,-0.0022811106460149016
1.0001,13,50000,1,1024,0.8589880816120682,-0.009612291725141208
1.0001,13,50000,1,4096,0.5818138281740286,-0.3030590395002633
1.0001,13,200000,1,1,0.9997966353321588,1.426259549031384e-06
1.0001,13,200000,1,64,0.9873137263806935,-0.0002616769516436771
1.0001,13,200000,1,1024,0.8185130546324848,-0.01841275983358931
1.0001,13,200000,1,4096,0.4827275845124027,-0.13405791841727902
1.0001,13,1000000,1,1,0.9997980180002866,1.2948023049721657e-05
1.0001,13,1000000,1,64,0.9871314590905472,0.0007881750041347117
1.0001,13,1000000,1,1024,0.8098518853746552,0.011908807433708072
1.0001,13,1000000,1,4096,0.4323534947339171,-0.021491959292313102
1.0001,13,50000,4,1,0.9992573052499306,-9.678666204122468e-06
1.0001,13,50000,4,64,0.9583587009524098,0.0012618420481598244
1.0001,13,50000,4,1024,0.5922435446215283,-0.017737894878161613
1.0001,13,50000,4,4096,0.15744353463542227,-0.24978839745119774
1.0001,13,200000,4,1,0.9992240924692991,0.00014748521487471323
1.0001,13,200000,4,64,0.9530674607039,0.010510031844075774
1.0001,13,200000,4,1024,0.4261033399601354,0.0177045821988964
1.0001,13,200000,4,4096,0.13531007938129996,-0.1449244505927666
1.0001,13,1000000,4,1,0.9992265436501111,7.896397985753284e-05
1.0001,13,1000000,4,64,0.9515888309228054,0.005160718350417645
1.0001,13,1000000,4,1024,0.4195972600027684,0.048801812090685764
1.0001,13,1000000,4,4096,0.05300861892636685,0.007448401802952119
1.0001,14,50000,1,1,0.9998144684589758,-6.163815598635337e-05
1.0001,14,50000,1,64,0.9880744618477435,-0.0038380648965465032
1.0001,14,50000,1,1024,0.83411489545019,-0.016597977266028952
1.0001,14,50000,1,4096,0.6890190617980165,-0.21037276882974273
1.0001,14,200000,1,1,0.9998272818517525,6.1028971007449965e-06
1.0001,14,200000,1,64,0.9888011499486573,0.00041451440900372357
1.0001,14,200000,1,1024,0.8362003119670246,0.00681157145467065
1.0001,14,200000,1,4096,0.5795333818057183,-5.8384893182334404e-05
1.0001,14,1000000,1,1,0.9997891972293942,-4.444839612984863e-06
1.0001,14,1000000,1,64,0.9865074071828557,-4.8050659914417744e-05
1.0001,14,1000000,1,1024,0.8046578133592734,-0.0035938682989245345
1.0001,14,1000000,1,4096,0.4323858175972553,-0.04914216120928907
1.0001,14,50000,4,1,0.99903422901498,-0.0003667981279623045
1.0001,14,50000,4,64,0.9452089341796637,-0.02502173567555757
1.0001,14,50000,4,1024,0.49691729603827933,-0.13370547325205515
1.0001,14,50000,4,4096,0.27579581864176245,-0.18774525667707362
1.0001,14,200000,4,1,0.9993045245254015,7.35975330202368e-05
1.0001,14,200000,4,64,0.9571484604787349,0.004298361057543397
1.0001,14,200000,4,1024,0.5086792776926913,0.02799766696329145
1.0001,14,200000,4,4096,0.24103086971003182,0.03297918464213547
1.0001,14,1000000,4,1,0.9991526875894244,3.884124818686488e-06
1.0001,14,1000000,4,64,0.946869449578403,0.001341003824816458
1.0001,14,1000000,4,1024,0.40835402454654923,-0.004795106655014772
1.0001,14,1000000,4,4096,0.040286590694595635,-0.015312903708893478
1.0001,15,50000,1,1,0.9997341378665886,-9.489894074812697e-05
1.0001,15,50000,1,64,0.9836998516940364,-0.005429799068898264
