row_id,split,alpha,seed,estimated_location,estimated_scale
99,fit,0.58,20260845,-0.041410195564524174,1.1771708191551986
100,fit,0.58,20260846,0.007755921327530033,1.1424528352159657
101,fit,0.58,20260847,-0.04913119337721866,1.2025312350182122
102,fit,0.58,20260848,0.050372834257932673,1.1539418335965614
103,fit,0.58,20260849,0.01943386126763505,1.1622507977770846
104,fit,0.58,20261830,0.009650296182403498,1.175525890580025
105,fit,0.58,20261831,-0.0016185318415045799,1.1332784423143027
106,fit,0.58,20261832,-0.02926407303489883,1.140204867049576
107,fit,0.58,20261833,-0.06325242304015513,1.2030094967379383
108,fit,0.58,20261834,-0.04442096791490459,1.1918813505550716
109,fit,0.58,20261835,-0.003550061448716793,1.2464800530705813
110,fit,0.58,20261836,0.05139305557845187,1.200493821219471
111,fit,0.58,20261837,0.002384013997721559,1.1834382002036459
112,fit,0.66,20260830,0.04148642461588535,1.386684736785722
113,fit,0.66,20260831,0.06129543153376976,1.4178873316779381
114,fit,0.66,20260832,-0.01371939837684127,1.405678239064982
115,fit,0.66,20260833,-0.08003463151123036,1.405347167159309
116,fit,0.66,20260834,0.020687418361540567,1.3521157714255412
117,fit,0.66,20260835,-0.039046628219902534,1.3491079678461013
118,fit,0.66,20260836,0.035966511788472086,1.4070447245868296
119,fit,0.66,20260837,0.05557323180308692,1.4094273678876688
120,fit,0.66,20260838,-0.08880232448122669,1.4133576312804936
121,fit,0.66,20260839,0.06065497804781259,1.3900119422035115
122,fit,0.66,20260840,0.03200390828779254,1.364243580436462
123,fit,0.66,20260841,-0.01929014185220214,1.5139286368132758
124,fit,0.66,20260842,-0.04365133270138419,1.4505411667622483
125,fit,0.66,20260843,0.06277477092765044,1.3626348470844056
126,fit,0.66,20260844,0.07988586165665762,1.4405652522449865
127,fit,0.66,20260845,-0.0813543424190217,1.407305544492496
128,fit,0.66,20260846,-0.009897913603592028,1.4112839985601202
129,fit,0.66,20260847,-0.05631920522017418,1.3897887857589777
130,fit,0.66,20260848,-0.03404157446014922,1.3486452045345403
131,fit,0.66,20260849,-0.03287265689820539,1.3938876978223589
132,fit,0.66,20261830,-0.0396961165041457,1.4167034830211924
133,fit,0.66,20261831,0.037106005140243925,1.364658934736914
134,fit,0.66,20261832,-0.077289460630964,1.375668030698629
135,fit,0.66,20261833,-0.013359766554085318,1.3403370175522267
136,fit,0.66,20261834,0.06736156301919141,1.3820519822434365
137,fit,0.66,20261835,0.014694499883416152,1.4062563123762786
138,fit,0.66,20261836,0.007116393510112099,1.36619431350949
139,fit,0.66,20261837,0.03289443099117907,1.413251663649497
140,test,0.38,20264830,0.005218717538793474,0.7467781845427387
141,test,0.38,20264831,0.006026387491619448,0.7904366377034207
142,test,0.38,20264832,-0.0001754360031899937,0.84525012985209
143,test,0.38,20264833,-0.009400120346245457,0.7530254039841919
144,test,0.38,20264834,-0.0044878282691456686,0.7754759420289954
145,test,0.38,20264835,0.0030884086879759956,0.7639230390055771
146,test,0.38,20264836,-0.00038772111393538646,0.7570665654486315
147,test,0.38,20264837,0.02718603427818542,0.7952948619031046
148,test,0.38,20264838,-0.0075482888040355,0.7607863028679719
149,test,0.38,20264839,-0.003507179400522276,0.7902457745854459
150,test,0.38,20264840,0.0041744626856876155,0.7450911028678557
151,test,0.38,20264841,-0.033586588241082904,0.7806507120416866
152,test,0.38,20264842,0.03232460446990511,0.7826076454367727
153,test,0.38,20264843,-0.003982905334216634,0.7710806351324269
154,test,0.38,20264844,0.022132891326303764,0.7828766905685839
155,test,0.38,20264845,0.02306036643887231,0.7767513999631706
156,test,0.38,20264846,-0.0058705873277890615,0.788495776523551
157,test,0.38,20264847,0.025672360872236778,0.7837106937453984
158,test,0.38,20264848,-0.029499960294122905,0.8087927662464371
159,test,0.38,20264849,-0.007332536945822493,0.7711458784101434
160,test,0.38,20264850,0.01365990004974094,0.8372303836986921
161,test,0.38,20264851,-0.009331694620782535,0.8189839573952892
