beta,coupling_form,coupling,lambda_parallel,lambda_perp_local,local_stable,basin_success_rate,divergence_rate,median_final_error,p90_final_error
1.1,output_cross,0.375,0.9010469796371766,-0.48524738148271407,True,1.0,0.0,0.0,0.0
1.1,output_cross,0.4,0.9010469796371766,-0.7083909327969241,True,1.0,0.0,0.0,0.0
1.1,output_cross,0.42500000000000004,0.9010469796371766,-0.9960730052487051,True,1.0,0.0,0.0,0.0
1.1,output_cross,0.45,0.9010469796371766,-1.4015381133568694,True,1.0,0.0,0.0,0.0
1.1,output_cross,0.47500000000000003,0.9010469796371766,-2.094685293916816,True,1.0,0.0,0.0,0.0
1.1,output_cross,0.5,0.9010469796371766,-inf,True,1.0,0.0,0.0,0.0
1.1,state_diffusive,0.0,0.9010469796371766,0.9010469796371766,False,0.0,0.0,34.24770018382519,296.9625930131617
1.1,state_diffusive,0.05,0.9010469796371766,0.8377898888584335,False,0.0,0.0,50.00591553809425,297.83999567478685
1.1,state_diffusive,0.1,0.9010469796371766,0.7690453124410224,False,0.0,0.0,62.66248688625544,372.4169492859685
1.1,state_diffusive,0.15000000000000002,0.9010469796371766,0.6936890717184768,False,0.0,0.0,67.16322839311269,415.43496206946054
1.1,state_diffusive,0.2,0.9010469796371766,0.6101951357556143,False,0.0,0.0,61.71964104276452,380.38073405152716
1.1,state_diffusive,0.25,0.9010469796371766,0.5164111905945203,False,0.015625,0.0,81.40485301169886,667.2449189444134
1.1,state_diffusive,0.30000000000000004,0.9010469796371766,0.4091471010760383,False,0.0703125,0.0,58.10237712580391,438.5363996362403
1.1,state_diffusive,0.35000000000000003,0.9010469796371766,0.2833456081199316,False,0.1875,0.0,56.72892212740287,409.11800559816015
1.1,state_diffusive,0.4,0.9010469796371766,0.13017459060755632,False,0.21875,0.0,52.52725409858689,369.0765859145716
1.1,state_diffusive,0.45,0.9010469796371766,-0.06834919683542234,True,0.28515625,0.0,52.35005785642468,338.6991406994531
1.1,state_diffusive,0.5,0.9010469796371766,-0.3612842151685503,True,0.12109375,0.0,174.21604118723803,1484.3515404020295
1.1,state_diffusive,0.55,0.9010469796371766,-1.3388933936537868,True,0.08984375,0.91015625,0.0,0.0
1.1,state_diffusive,0.6000000000000001,0.9010469796371766,-0.9848967880134376,True,0.109375,0.890625,0.0,0.0
1.1,state_diffusive,0.65,0.9010469796371766,-0.7491681713248403,True,0.15625,0.84375,0.0,0.0
1.1,state_diffusive,0.7000000000000001,0.9010469796371766,-0.5541585257223788,True,0.13671875,0.86328125,0.0,0.0
1.1,state_diffusive,0.75,0.9010469796371766,-0.39578495387126705,True,0.1328125,0.8671875,0.0,0.0
1.1,state_diffusive,0.8,0.9010469796371766,-0.2550266379301206,True,0.12109375,0.87890625,0.0,0.0
1.1,state_diffusive,0.8500000000000001,0.9010469796371766,-0.13317666723679036,True,0.08984375,0.91015625,0.0,0.0
1.1,state_diffusive,0.9,0.9010469796371766,-0.02572963050084257,True,0.06640625,0.93359375,0.0,0.0
1.1,state_diffusive,0.9500000000000001,0.9010469796371766,0.07506682492035285,False,0.00390625,0.98828125,0.0,0.0
1.1,state_diffusive,1.0,0.9010469796371766,0.1629918239773822,False,0.0,1.0,0.0,0.0
1.2,output_cross,0.0,1.184530157737603,1.184530157737603,False,0.0,0.0,54.1367591904542,374.7556349744823
1.2,output_cross,0.025,1.184530157737603,1.1332368633500527,False,0.0,0.0,58.61059374846823,381.69889134020923
1.2,output_cross,0.05,1.184530157737603,1.079169642079777,False,0.0,0.0,57.57795408206244,354.7754768724752
1.2,output_cross,0.07500000000000001,1.184530157737603,1.0220112282398282,False,0.0,0.0,48.74226183378589,361.59019099290083
