case,window,method,budget,terms,actual_bytes,under_budget,qr_prequant_mse,decoded_mse,codec_roundtrip
b1.1_float64,4,fourier_low,80,8,80,True,0.5496327276980384,0.5496327276980386,True
b1.1_float64,4,fourier_low,144,16,144,True,0.35574826989429353,0.35574826989429387,True
b1.1_float64,4,adaptive_tm,48,3,43,True,0.7439697055953851,0.7439697055953851,True
b1.1_float64,4,adaptive_tm,80,7,79,True,0.6436329390217054,0.6436329390217057,True
b1.1_float64,4,adaptive_tm,144,14,142,True,0.6082112018985467,0.6082112018985469,True
b1.1_float64,4,fixed_tm_a0,diagnostic_m,2,,,0.8658742656050825,0.8658742656050825,
b1.1_float64,4,adaptive_tm,diagnostic_m,2,,,0.7905189421272993,0.7905189421272993,
b1.1_float64,4,fixed_tm_a0,diagnostic_m,4,,,0.7945006661833043,0.7945006661833043,
b1.1_float64,4,adaptive_tm,diagnostic_m,4,,,0.7117857003243281,0.7117857003243281,
b1.1_float64,4,fixed_tm_a0,diagnostic_m,8,,,0.7138923957635244,0.7138923957635244,
b1.1_float64,4,adaptive_tm,diagnostic_m,8,,,0.639106469704719,0.639106469704719,
b1.1_float64,5,fixed_tm_a0,48,4,48,True,0.8882898277521283,0.8882898277521283,True
b1.1_float64,5,fixed_tm_a0,80,8,80,True,0.7253416180582419,0.7253416180582422,True
b1.1_float64,5,fixed_tm_a0,144,16,144,True,0.6289996754051116,0.6289996754051117,True
b1.1_float64,5,fourier_low,48,4,48,True,0.8812592338996028,0.8812592338996029,True
b1.1_float64,5,fourier_low,80,8,80,True,0.7130698675587223,0.7130698675587224,True
b1.1_float64,5,fourier_low,144,16,144,True,0.46742896508510956,0.4674289650851099,True
b1.1_float64,5,adaptive_tm,48,3,43,True,0.791750688375299,0.7917506883752995,True
b1.1_float64,5,adaptive_tm,80,7,79,True,0.6883058219471423,0.6883058219471427,True
b1.1_float64,5,adaptive_tm,144,14,142,True,0.627287104312917,0.6272871043129176,True
b1.1_float64,5,fixed_tm_a0,diagnostic_m,2,,,0.9179926103996907,0.9179926103996907,
b1.1_float64,5,adaptive_tm,diagnostic_m,2,,,0.8495198488797404,0.8495198488797404,
b1.1_float64,5,fixed_tm_a0,diagnostic_m,4,,,0.8882898277521283,0.8882898277521283,
b1.1_float64,5,adaptive_tm,diagnostic_m,4,,,0.7638399792884007,0.7638399792884007,
b1.1_float64,5,fixed_tm_a0,diagnostic_m,8,,,0.7253416180582419,0.7253416180582419,
b1.1_float64,5,adaptive_tm,diagnostic_m,8,,,0.6776473374729846,0.6776473374729846,
b1.1_float64,6,fixed_tm_a0,48,4,48,True,0.7511887906293956,0.7511887906293957,True
b1.1_float64,6,fixed_tm_a0,80,8,80,True,0.7242354461286247,0.7242354461286248,True
b1.1_float64,6,fixed_tm_a0,144,16,144,True,0.5865396971307264,0.5865396971307268,True
b1.1_float64,6,fourier_low,48,4,48,True,0.7027140786174448,0.7027140786174451,True
b1.1_float64,6,fourier_low,80,8,80,True,0.6305016409051123,0.6305016409051125,True
b1.1_float64,6,fourier_low,144,16,144,True,0.4960700291723058,0.49607002917230625,True
b1.1_float64,6,adaptive_tm,48,3,43,True,0.7216072683391498,0.7216072683391499,True
b1.1_float64,6,adaptive_tm,80,7,79,True,0.6467718049098804,0.6467718049098808,True
b1.1_float64,6,adaptive_tm,144,14,142,True,0.56455121840626,0.5645512184062603,True
b1.1_float64,6,fixed_tm_a0,diagnostic_m,2,,,0.8129828490752664,0.8129828490752664,
b1.1_float64,6,adaptive_tm,diagnostic_m,2,,,0.7357144983209072,0.7357144983209072,
b1.1_float64,6,fixed_tm_a0,diagnostic_m,4,,,0.7511887906293956,0.7511887906293956,
b1.1_float64,6,adaptive_tm,diagnostic_m,4,,,0.7003194955993723,0.7003194955993723,
b1.1_float64,6,fixed_tm_a0,diagnostic_m,8,,,0.7242354461286247,0.7242354461286247,
b1.1_float64,6,adaptive_tm,diagnostic_m,8,,,0.6272064314227291,0.6272064314227291,
b1.1_float64,7,fixed_tm_a0,48,4,48,True,0.7629958765735732,0.7629958765735733,True
b1.1_float64,7,fixed_tm_a0,80,8,80,True,0.6581308695428718,0.658130869542872,True
