beta,epsilon,t,log_gain,theory
1.1,0.01,1024,913.0350794181174,956.2932209839794
1.1,0.01,2048,1737.4493037754362,1912.5864419679588
1.1,0.01,4096,3684.1257484476914,3825.1728839359175
1.1,0.01,8192,7254.785767285646,7650.345767871835
1.1,0.01,16384,14731.797709821833,15300.69153574367
1.1,0.01,32768,30418.372313511692,30601.38307148734
1.1,0.01,65536,60921.65272717466,61202.76614297468
1.1,0.01,131072,121067.14421351085,122405.53228594936
1.1,0.01,200000,186070.22876137675,186776.01972343348
1.1,0.1,1,0.12251518754378471,1.0805003606110113
1.1,0.1,2,0.31300380045867005,2.1610007212220226
1.1,0.1,4,1.1723439392389539,4.322001442444045
1.1,0.1,8,7.332485025426744,8.64400288488809
1.1,0.1,16,23.851897459782343,17.28800576977618
1.1,0.1,32,36.066410483587106,34.57601153955236
1.1,0.1,64,91.18948374637225,69.15202307910472
1.1,0.1,128,170.3472623683616,138.30404615820945
1.1,0.1,256,302.66243077286003,276.6080923164189
1.1,0.1,512,591.3993778744026,553.2161846328378
1.1,0.1,1024,1145.3648306233838,1106.4323692656756
1.1,0.1,2048,2337.7909784731987,2212.864738531351
1.1,0.1,4096,4399.458896638823,4425.729477062702
1.1,0.1,8192,8869.62705268728,8851.458954125404
1.1,0.1,16384,17868.000965059975,17702.91790825081
1.1,0.1,32768,35724.71166333333,35405.83581650162
1.1,0.1,65536,71191.48786782309,70811.67163300324
1.1,0.1,131072,141435.6283519839,141623.34326600647
1.1,0.1,200000,215529.08723113648,216100.07212220225
1.1,0.5,1,3.0836658238449024,1.169743154139848
1.1,0.5,2,3.638172357676721,2.339486308279696
1.1,0.5,4,10.824465389328337,4.678972616559392
1.1,0.5,8,18.603351821673886,9.357945233118784
1.1,0.5,16,30.792793193708103,18.715890466237568
1.1,0.5,32,66.12173019048286,37.431780932475135
1.1,0.5,64,123.24270581347487,74.86356186495027
1.1,0.5,128,202.39507438009653,149.72712372990054
1.1,0.5,256,344.1204659330436,299.4542474598011
1.1,0.5,512,705.159657207863,598.9084949196022
1.1,0.5,1024,1290.3592597060926,1197.8169898392043
1.1,0.5,2048,2419.2701339459004,2395.6339796784087
1.1,0.5,4096,4847.390115977749,4791.267959356817
1.1,0.5,8192,9726.055458218378,9582.535918713635
1.1,0.5,16384,19214.578771032204,19165.07183742727
1.1,0.5,32768,38575.151110630475,38330.14367485454
1.1,0.5,65536,76767.1083662076,76660.28734970908
1.1,0.5,131072,153854.09565967086,153320.57469941815
1.1,0.5,200000,234660.78023470103,233948.63082796958
1.1,0.9,1,-1.604640965746642,0.8056197630038242
1.1,0.9,2,-2.6023348506877477,1.6112395260076484
1.1,0.9,4,-2.5885347684325897,3.222479052015297
1.1,0.9,8,-3.1910674094728924,6.444958104030594
1.1,0.9,16,-1.7983896044290761,12.889916208061187
1.1,0.9,32,10.796127251954792,25.779832416122375
1.1,0.9,64,29.35556646658478,51.55966483224475
1.1,0.9,128,104.0886635507079,103.1193296644895
1.1,0.9,256,221.5484035080632,206.238659328979
1.1,0.9,512,504.2178811866606,412.477318657958
1.1,0.9,1024,922.1762967038553,824.954637315916
1.1,0.9,2048,1808.5381907290848,1649.909274631832
1.1,0.9,4096,3404.4271057320484,3299.818549263664
1.1,0.9,8192,6979.23169349662,6599.637098527328
1.1,0.9,16384,13950.353128380555,13199.274197054656
1.1,0.9,32768,26956.286596760187,26398.54839410931
1.1,0.9,65536,53075.376373005965,52797.09678821862
1.1,0.9,131072,105295.53553735661,105594.19357643725
1.1,0.9,200000,160174.2258688764,161123.95260076484
2.0,0.0,1,0.7051535083792467,2.0364875897668466
2.0,0.0,2,1.4470096014215792,4.072975179533693
2.0,0.0,4,4.147081647404266,8.145950359067387
2.0,0.0,8,16.088199731590855,16.291900718134773
2.0,0.0,16,25.180081580666553,32.583801436269546
2.0,0.0,32,51.01384785086,65.16760287253909
2.0,0.0,64,109.49825441803883,130.33520574507818
2.0,0.0,128,291.47610891913916,260.67041149015637
2.0,0.0,256,538.7493459931211,521.3408229803127
2.0,0.0,512,1057.0577701494656,1042.6816459606255
2.0,0.0,1024,2038.1302850220047,2085.363291921251
2.0,0.0,2048,4102.77227536913,4170.726583842502
2.0,0.0,4096,8292.458572330794,8341.453167685004
2.0,0.0,8192,16682.334477366818,16682.906335370008
2.0,0.0,16384,33380.35537115474,33365.812670740015
2.0,0.0,32768,66665.47159328093,66731.62534148003
2.0,0.0,65536,132697.49761629137,133463.25068296006
2.0,0.0,131072,266364.08284725435,266926.5013659201
2.0,0.0,200000,406736.48116373504,407297.5179533693
2.0,0.01,1,0.7178854531824886,2.035854468945879
2.0,0.01,2,1.489099053572276,4.071708937891758
2.0,0.01,4,6.236338272786707,8.143417875783516
2.0,0.01,8,23.159749724065207,16.286835751567033
2.0,0.01,16,38.30434630041957,32.573671503134065
2.0,0.01,32,76.49787488657354,65.14734300626813
2.0,0.01,64,148.206634278404,130.29468601253626
2.0,0.01,128,291.61848626817846,260.5893720250725
2.0,0.01,256,520.5694297648375,521.178744050145
2.0,0.01,512,1086.7466608022003,1042.35748810029
2.0,0.01,1024,2045.2969729000072,2084.71497620058
2.0,0.01,2048,4076.3743149117936,4169.42995240116
2.0,0.01,4096,8231.249058340782,8338.85990480232
2.0,0.01,8192,16664.669269853508,16677.71980960464
2.0,0.01,16384,33251.187572057315,33355.43961920928
2.0,0.01,32768,66695.86967844919,66710.87923841857
2.0,0.01,65536,133425.82634868284,133421.75847683713
2.0,0.01,131072,266366.5801438138,266843.51695367426
2.0,0.01,200000,406955.6454224165,407170.89378917584
2.0,0.1,1,1.101991147578531,2.02742629985953
2.0,0.1,2,9.980492944066304,4.05485259971906
2.0,0.1,4,12.131490016462433,8.10970519943812
2.0,0.1,8,15.131666962911854,16.21941039887624
2.0,0.1,16,27.535893313607712,32.43882079775248
2.0,0.1,32,50.83931619005619,64.87764159550495
2.0,0.1,64,132.2537222448303,129.7552831910099
2.0,0.1,128,241.82879417586355,259.5105663820198
2.0,0.1,256,523.8081106339037,519.0211327640396
2.0,0.1,512,990.1186789388943,1038.0422655280793
2.0,0.1,1024,1985.4520525747344,2076.0845310561585
2.0,0.1,2048,4072.833385527025,4152.169062112317
2.0,0.1,4096,8158.343030290554,8304.338124224634
2.0,0.1,8192,16333.843195578243,16608.67624844927
