key,beta,dtype,scale_name,scale,start,stop,n,order,lag,k,pairs,real,imag,theory,error
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,4,8,199996,0.013554020323754792,-0.0012059834998559371,0.009983048610026789,0.003769115968257051
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,8,1,199992,0.005027898748518996,0.0007905382312194253,0.005233398527338396,0.0008168113944567374
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,8,2,199992,0.00496152750353274,-0.00017858437865747554,0.004880943505879124,0.00019592386525973463
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,8,3,199992,0.020297445270883074,-0.00018224879659113876,0.02104452607957175,0.0007689891797482224
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,8,4,199992,0.013632031555206245,-0.001571434524776489,0.012073862165542506,0.002212984028985428
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,8,5,199992,0.004814773969619444,-0.0023726316780025712,0.004696746558578279,0.0023755655219796354
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,8,6,199992,0.007141862697600078,0.0002826201952127912,0.0057629093466201,0.0014076173197716158
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,8,7,199992,0.009874664403194964,-0.002436047196437807,0.008400282467675223,0.002847477486313006
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,8,8,199992,0.012772444916295598,0.0028299073410323647,0.009983048610026789,0.003973550970134263
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,16,1,199984,0.0035932227307050434,0.0017697214668260556,0.005233398527338396,0.0024129008918740984
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,16,2,199984,0.002773479448093359,0.00048155438055027036,0.004880943505879124,0.002161781528343231
b1.0001_float32,1.0001,float32,matched,0.017318949386946766,0,200000,200000,shuffled,16,3,199984,0.019753495816347992,-0.0013966687759977728,0.02104452607957175,0.0019019576258178625
