key,beta,dtype,scale_name,scale,start,stop,n,k,real,imag,theory,error
b1.001_float64,1.001,float64,matched,0.054723010317845995,50000,100000,50000,6,-0.035652432921134035,-0.0024616582150625258,0.0,0.0357373157129036
b1.001_float64,1.001,float64,matched,0.054723010317845995,50000,100000,50000,7,0.03956850812109655,0.021304521031093357,0.0,0.044939397540394145
b1.001_float64,1.001,float64,matched,0.054723010317845995,50000,100000,50000,8,-0.046749594083265344,-0.0111395240009889,0.0,0.048058438821071636
b1.001_float64,1.001,float64,matched,0.054723010317845995,100000,150000,50000,1,-0.0920755793222172,0.09030958640292068,0.0,0.12897183298607687
b1.001_float64,1.001,float64,matched,0.054723010317845995,100000,150000,50000,2,-0.006649371266068787,-0.05268005577549357,0.0,0.05309804530058649
b1.001_float64,1.001,float64,matched,0.054723010317845995,100000,150000,50000,3,0.01682829609209797,0.02358937761800473,0.0,0.02897671972063336
b1.001_float64,1.001,float64,matched,0.054723010317845995,100000,150000,50000,4,-0.006740969078385149,-0.025526525711256094,0.0,0.026401594251165273
b1.001_float64,1.001,float64,matched,0.054723010317845995,100000,150000,50000,5,0.02561644248439332,-0.007804642776467884,0.0,0.02677899502267595
b1.001_float64,1.001,float64,matched,0.054723010317845995,100000,150000,50000,6,-0.03242188209149974,0.0066399025747569595,0.0,0.03309481446627818
b1.001_float64,1.001,float64,matched,0.054723010317845995,100000,150000,50000,7,0.03465382313929105,-0.01076729112040276,0.0,0.0362880423313351
b1.001_float64,1.001,float64,matched,0.054723010317845995,100000,150000,50000,8,-0.03171330080056936,0.01587440083486707,0.0,0.03546448997988582
b1.001_float64,1.001,float64,matched,0.054723010317845995,150000,200000,50000,1,-0.03832147959017229,0.06926798638273847,0.0,0.07916179467078316
b1.001_float64,1.001,float64,matched,0.054723010317845995,150000,200000,50000,2,0.04938768684568701,0.060594473088656946,0.0,0.07817182216668367
b1.001_float64,1.001,float64,matched,0.054723010317845995,150000,200000,50000,3,-0.0466899085740869,-0.03739323316513748,0.0,0.0598180695877001
b1.001_float64,1.001,float64,matched,0.054723010317845995,150000,200000,50000,4,0.005065054524440526,0.076719438096697,0.0,0.07688645497880936
b1.001_float64,1.001,float64,matched,0.054723010317845995,150000,200000,50000,5,-0.010807377600782285,-0.03339174862274009,0.0,0.03509712647340456
b1.001_float64,1.001,float64,matched,0.054723010317845995,150000,200000,50000,6,0.0024446632687837285,0.02014871767087707,0.0,0.02029648250999306
b1.001_float64,1.001,float64,matched,0.054723010317845995,150000,200000,50000,7,0.011831877358906335,-0.006629947908217424,0.0,0.013562799530402155
b1.001_float64,1.001,float64,matched,0.054723010317845995,150000,200000,50000,8,-0.028947417746003862,0.006685338800641811,0.0,0.02970937140097424
b1.001_float64,1.001,float64,double,0.10944602063569199,0,200000,200000,1,-0.33113013131850705,0.04332451255637941,-0.3333333333333333,0.04338049662424362
b1.001_float64,1.001,float64,double,0.10944602063569199,0,200000,200000,2,0.1118433887501075,-0.009228419616045484,0.1111111111111111,0.00925742724251113
b1.001_float64,1.001,float64,double,0.10944602063569199,0,200000,200000,3,-0.03286014318313223,-0.011358733414926816,-0.03703703703703703,0.012102366176007181
b1.001_float64,1.001,float64,double,0.10944602063569199,0,200000,200000,4,0.003873932799336749,0.018444891873707733,0.012345679012345677,0.02029740180738413
b1.001_float64,1.001,float64,double,0.10944602063569199,0,200000,200000,5,0.003041429196809438,-0.02121429010295398,-0.004115226337448558,0.022388921881330435
b1.001_float64,1.001,float64,double,0.10944602063569199,0,200000,200000,6,-0.017167563713031603,0.02849797216252143,0.0013717421124828527,0.033997651063975
b1.001_float64,1.001,float64,double,0.10944602063569199,0,200000,200000,7,0.029700047242884654,-0.032706375520585355,-0.00045724737082761756,0.044487856973693216
b1.001_float64,1.001,float64,double,0.10944602063569199,0,200000,200000,8,-0.028321514215947707,0.03007198677538885,0.0001524157902758725,0.04141363397020939
b1.001_float64,1.001,float64,double,0.10944602063569199,0,50000,50000,1,-0.3354552506851703,-0.0600333768277734,-0.3333333333333333,0.06007086537243714
b1.001_float64,1.001,float64,double,0.10944602063569199,0,50000,50000,2,0.12919631337172083,0.10857838461152006,0.1111111111111111,0.1100742483310894
