beta,name,seed,center,lambda0,estimate,target
1.0001,uncoupled,30,-0.003340017241979818,0.03905941986342479,0.03905941986342479,0.03444136656343575
1.0001,q-1.0,30,-0.003340017241979818,0.03905941986342479,-0.029823313263446713,-0.03444136656343575
1.0001,q-0.25,30,-0.003340017241979818,0.03905941986342479,-0.003992288340869898,-0.008610341640858938
1.0001,q0.0,30,-0.003340017241979818,0.03905941986342479,0.0046180532999890445,0.0
1.0001,q0.25,30,-0.003340017241979818,0.03905941986342479,0.013228394940847973,0.008610341640858938
1.0001,q0.75,30,-0.003340017241979818,0.03905941986342479,0.030449078222565852,0.025831024922576815
1.0001,one_step,30,-0.003340017241979818,0.03905941986342479,,
1.0001,uncoupled,31,-0.0007521020420612835,0.0278428394328415,0.0278428394328415,0.03444136656343575
1.0001,q-1.0,31,-0.0007521020420612835,0.0278428394328415,-0.04103989369403,-0.03444136656343575
1.0001,q-0.25,31,-0.0007521020420612835,0.0278428394328415,-0.015208868771453186,-0.008610341640858938
1.0001,q0.0,31,-0.0007521020420612835,0.0278428394328415,-0.006598527130594244,0.0
1.0001,q0.25,31,-0.0007521020420612835,0.0278428394328415,0.0020118145102646853,0.008610341640858938
1.0001,q0.75,31,-0.0007521020420612835,0.0278428394328415,0.019232497791982564,0.025831024922576815
1.0001,one_step,31,-0.0007521020420612835,0.0278428394328415,,
1.01,uncoupled,0,-0.23961538477065542,0.3216817800578928,0.3216817800578928,0.3267964614006244
1.01,q-1.0,0,-0.23961538477065542,0.3216817800578928,-0.3319111427433559,-0.3267964614006244
1.01,q-0.25,0,-0.23961538477065542,0.3216817800578928,-0.08681379669288769,-0.0816991153501561
1.01,q0.0,0,-0.23961538477065542,0.3216817800578928,-0.005114681342731686,0.0
1.01,q0.25,0,-0.23961538477065542,0.3216817800578928,0.07658443400742451,0.0816991153501561
1.01,q0.75,0,-0.23961538477065542,0.3216817800578928,0.23998266470773666,0.2450973460504683
1.01,one_step,0,-0.23961538477065542,0.3216817800578928,,
1.01,uncoupled,1,-0.2597754831960235,0.3289129618976122,0.3289129618976122,0.3267964614006244
1.01,q-1.0,1,-0.2597754831960235,0.3289129618976122,-0.3246799609036365,-0.3267964614006244
1.01,q-0.25,1,-0.2597754831960235,0.3289129618976122,-0.07958261485316825,-0.0816991153501561
1.01,q0.0,1,-0.2597754831960235,0.3289129618976122,0.00211650049698775,0.0
1.01,q0.25,1,-0.2597754831960235,0.3289129618976122,0.08381561584714395,0.0816991153501561
1.01,q0.75,1,-0.2597754831960235,0.3289129618976122,0.2472138465474561,0.2450973460504683
1.01,one_step,1,-0.2597754831960235,0.3289129618976122,,
1.01,uncoupled,2,-0.44691472104699226,0.3275748491095626,0.3275748491095626,0.3267964614006244
1.01,q-1.0,2,-0.44691472104699226,0.3275748491095626,-0.3260180736916861,-0.3267964614006244
1.01,q-0.25,2,-0.44691472104699226,0.3275748491095626,-0.08092072764121788,-0.0816991153501561
1.01,q0.0,2,-0.44691472104699226,0.3275748491095626,0.0007783877089381219,0.0
1.01,q0.25,2,-0.44691472104699226,0.3275748491095626,0.08247750305909432,0.0816991153501561
1.01,q0.75,2,-0.44691472104699226,0.3275748491095626,0.24587573375940647,0.2450973460504683
1.01,one_step,2,-0.44691472104699226,0.3275748491095626,,
1.01,uncoupled,3,0.13804872769785498,0.32316254704881625,0.32316254704881625,0.3267964614006244
1.01,q-1.0,3,0.13804872769785498,0.32316254704881625,-0.33043037575243245,-0.3267964614006244
1.01,q-0.25,3,0.13804872769785498,0.32316254704881625,-0.08533302970196421,-0.0816991153501561
1.01,q0.0,3,0.13804872769785498,0.32316254704881625,-0.0036339143518082095,0.0
1.01,q0.25,3,0.13804872769785498,0.32316254704881625,0.07806520099834799,0.0816991153501561
1.01,q0.75,3,0.13804872769785498,0.32316254704881625,0.24146343169866014,0.2450973460504683
1.01,one_step,3,0.13804872769785498,0.32316254704881625,,
1.01,uncoupled,4,0.2680649892145711,0.3308406669469464,0.3308406669469464,0.3267964614006244
1.01,q-1.0,4,0.2680649892145711,0.3308406669469464,-0.3227522558543023,-0.3267964614006244
1.01,q-0.25,4,0.2680649892145711,0.3308406669469464,-0.07765490980383405,-0.0816991153501561
1.01,q0.0,4,0.2680649892145711,0.3308406669469464,0.004044205546321955,0.0
1.01,q0.25,4,0.2680649892145711,0.3308406669469464,0.08574332089647815,0.0816991153501561
1.01,q0.75,4,0.2680649892145711,0.3308406669469464,0.2491415515967903,0.2450973460504683
1.01,one_step,4,0.2680649892145711,0.3308406669469464,,
1.01,uncoupled,5,-0.18068243241710544,0.33751046146205016,0.33751046146205016,0.3267964614006244
1.01,q-1.0,5,-0.18068243241710544,0.33751046146205016,-0.31608246133919854,-0.3267964614006244
1.01,q-0.25,5,-0.18068243241710544,0.33751046146205016,-0.0709851152887303,-0.0816991153501561
1.01,q0.0,5,-0.18068243241710544,0.33751046146205016,0.0107140000614257,0.0
1.01,q0.25,5,-0.18068243241710544,0.33751046146205016,0.0924131154115819,0.0816991153501561
1.01,q0.75,5,-0.18068243241710544,0.33751046146205016,0.25581134611189404,0.2450973460504683
1.01,one_step,5,-0.18068243241710544,0.33751046146205016,,
1.01,uncoupled,6,0.9848813515929683,0.3348774291546017,0.3348774291546017,0.3267964614006244
1.01,q-1.0,6,0.9848813515929683,0.3348774291546017,-0.318715493646647,-0.3267964614006244
1.01,q-0.25,6,0.9848813515929683,0.3348774291546017,-0.07361814759617874,-0.0816991153501561
1.01,q0.0,6,0.9848813515929683,0.3348774291546017,0.008080967753977264,0.0
1.01,q0.25,6,0.9848813515929683,0.3348774291546017,0.08978008310413346,0.0816991153501561
1.01,q0.75,6,0.9848813515929683,0.3348774291546017,0.2531783138044456,0.2450973460504683
1.01,one_step,6,0.9848813515929683,0.3348774291546017,,
1.01,uncoupled,7,0.14567415950044638,0.32125007194461547,0.32125007194461547,0.3267964614006244
1.01,q-1.0,7,0.14567415950044638,0.32125007194461547,-0.33234285085663323,-0.3267964614006244
1.01,q-0.25,7,0.14567415950044638,0.32125007194461547,-0.087245504806165,-0.0816991153501561
1.01,q0.0,7,0.14567415950044638,0.32125007194461547,-0.005546389456008993,0.0
1.01,q0.25,7,0.14567415950044638,0.32125007194461547,0.0761527258941472,0.0816991153501561
1.01,q0.75,7,0.14567415950044638,0.32125007194461547,0.23955095659445935,0.2450973460504683
1.01,one_step,7,0.14567415950044638,0.32125007194461547,,
1.01,uncoupled,8,0.09745190098260044,0.32053990881835304,0.32053990881835304,0.3267964614006244
1.01,q-1.0,8,0.09745190098260044,0.32053990881835304,-0.33305301398289566,-0.3267964614006244
1.01,q-0.25,8,0.09745190098260044,0.32053990881835304,-0.08795566793242743,-0.0816991153501561
1.01,q0.0,8,0.09745190098260044,0.32053990881835304,-0.006256552582271424,0.0
1.01,q0.25,8,0.09745190098260044,0.32053990881835304,0.07544256276788477,0.0816991153501561
1.01,q0.75,8,0.09745190098260044,0.32053990881835304,0.23884079346819692,0.2450973460504683
1.01,one_step,8,0.09745190098260044,0.32053990881835304,,
