beta,name,kappa,regime,seed,initial,x0,y0,initial_equal,tail_real,tail_chord,finite_sync,first_exact,first_escape,max_abs
2.0,q0.0,0.4347568859616015,neutral,11,near,2.767938122826157,2.7679381132511165,0,0.0,0.0,1,684,126,450752.8049067361
2.0,q0.0,0.4347568859616015,neutral,11,independent,-0.9524034889052794,1.5983054560214538,0,0.0,0.0,1,605,1,862551.4801521641
2.0,q0.25,0.391446579560279,unstable,11,near,2.767938122826157,2.7679381132511165,0,1403.6992751550342,1.9999999867424745,0,-1,22,80302.84310460233
2.0,q0.25,0.391446579560279,unstable,11,independent,-0.9524034889052794,1.5983054560214538,0,5232.823472381333,1.9999842628860363,0,-1,1,105254.6491137799
2.0,q0.75,0.19948844645283387,unstable,11,near,2.767938122826157,2.7679381132511165,0,45383.50768407584,1.9999999897936576,0,-1,12,387248021.23204327
2.0,q0.75,0.19948844645283387,unstable,11,independent,-0.9524034889052794,1.5983054560214538,0,54436.943185903125,1.9999999074084724,0,-1,1,1340443.49265087
2.0,one_step,0.5,one_step,11,near,2.767938122826157,2.7679381132511165,0,0.0,0.0,1,1,-1,286590.56326118915
2.0,one_step,0.5,one_step,11,independent,-0.9524034889052794,1.5983054560214538,0,0.0,0.0,1,1,-1,49156.08844821359
2.0,uncoupled,0.0,unstable,12,near,3.4556828686321643,3.455682859057124,0,136569.55381484173,1.9999997239856784,0,-1,7,287676.43809759774
2.0,uncoupled,0.0,unstable,12,independent,0.6480445906763663,0.3943129306701964,0,74022.3549803751,1.9999999933630903,0,-1,1,466299.22070776526
2.0,q-1.0,0.49148667214114505,stable,12,near,3.4556828686321643,3.455682859057124,0,0.0,0.0,1,13,-1,94966.57084027794
2.0,q-1.0,0.49148667214114505,stable,12,independent,0.6480445906763663,0.3943129306701964,0,0.0,0.0,1,17,1,206314.660679323
2.0,q-0.25,0.46078738088413185,stable,12,near,3.4556828686321643,3.455682859057124,0,0.0,0.0,1,24,-1,100211.99337290566
2.0,q-0.25,0.46078738088413185,stable,12,independent,0.6480445906763663,0.3943129306701964,0,0.0,0.0,1,64,1,19342377.463324986
2.0,q0.0,0.4347568859616015,neutral,12,near,3.4556828686321643,3.455682859057124,0,0.0,0.0,1,74,-1,37794.32410117476
2.0,q0.0,0.4347568859616015,neutral,12,independent,0.6480445906763663,0.3943129306701964,0,0.0,0.0,1,190,1,228382.69678164402
2.0,q0.25,0.391446579560279,unstable,12,near,3.4556828686321643,3.455682859057124,0,8101.80169018865,1.9998757399181448,0,-1,26,112499.0199528621
2.0,q0.25,0.391446579560279,unstable,12,independent,0.6480445906763663,0.3943129306701964,0,2027.518523189497,1.9999419465206847,0,-1,1,104859.95196684694
2.0,q0.75,0.19948844645283387,unstable,12,near,3.4556828686321643,3.455682859057124,0,3901.4059460435737,1.9999999912321549,0,-1,7,793520.8478140569
2.0,q0.75,0.19948844645283387,unstable,12,independent,0.6480445906763663,0.3943129306701964,0,157754.42600620489,1.9999999431596016,0,-1,1,201187.09072969545
2.0,one_step,0.5,one_step,12,near,3.4556828686321643,3.455682859057124,0,0.0,0.0,1,1,-1,57552.385406990725
2.0,one_step,0.5,one_step,12,independent,0.6480445906763663,0.3943129306701964,0,0.0,0.0,1,1,-1,117936664.94468574
2.0,uncoupled,0.0,unstable,13,near,0.29947321782764186,0.29947320825260165,0,55362.063998409976,1.9999999999043518,0,-1,7,201606.50297898095
2.0,uncoupled,0.0,unstable,13,independent,2.026854103668552,0.9647005742173707,0,207074.5551918275,1.9999999992143564,0,-1,1,568808.5553238905
2.0,q-1.0,0.49148667214114505,stable,13,near,0.29947321782764186,0.29947320825260165,0,0.0,0.0,1,15,-1,2602945.3267740533
2.0,q-1.0,0.49148667214114505,stable,13,independent,2.026854103668552,0.9647005742173707,0,0.0,0.0,1,18,1,539337.7792111865
