beta,name,initial,t,error
1.1,q-1.0,near,16,8.829854499190962e-16
1.1,q-1.0,near,32,0.0
1.1,q-1.0,near,64,0.0
1.1,q-1.0,near,128,0.0
1.1,q-1.0,near,256,0.0
1.1,q-1.0,near,512,0.0
1.1,q-1.0,near,1024,0.0
1.1,q-1.0,near,2048,0.0
1.1,q-1.0,near,4096,0.0
1.1,q-1.0,near,8192,0.0
1.1,q-1.0,near,16384,0.0
1.1,q-1.0,near,32768,0.0
1.1,q-1.0,near,65536,0.0
1.1,q-1.0,near,131072,0.0
1.1,q-1.0,near,200000,0.0
1.1,q-1.0,independent,1,0.12360713522460694
1.1,q-1.0,independent,2,0.02504126150377738
1.1,q-1.0,independent,4,0.001190521388002887
1.1,q-1.0,independent,8,0.0004747417843321397
1.1,q-1.0,independent,16,0.0003473816677684673
1.1,q-1.0,independent,32,3.4905518567114275e-14
1.1,q-1.0,independent,64,0.0
1.1,q-1.0,independent,128,0.0
1.1,q-1.0,independent,256,0.0
1.1,q-1.0,independent,512,0.0
1.1,q-1.0,independent,1024,0.0
1.1,q-1.0,independent,2048,0.0
1.1,q-1.0,independent,4096,0.0
1.1,q-1.0,independent,8192,0.0
1.1,q-1.0,independent,16384,0.0
1.1,q-1.0,independent,32768,0.0
1.1,q-1.0,independent,65536,0.0
1.1,q-1.0,independent,131072,0.0
1.1,q-1.0,independent,200000,0.0
1.1,q-0.25,near,1,3.6848358074962132e-09
1.1,q-0.25,near,2,1.3727340471424009e-09
1.1,q-0.25,near,4,1.9971265570407002e-10
1.1,q-0.25,near,8,6.505174555916462e-12
1.1,q-0.25,near,16,8.563192893315396e-12
1.1,q-0.25,near,32,4.238330159611662e-14
1.1,q-0.25,near,64,0.0
1.1,q-0.25,near,128,0.0
1.1,q-0.25,near,256,0.0
1.1,q-0.25,near,512,0.0
1.1,q-0.25,near,1024,0.0
1.1,q-0.25,near,2048,0.0
1.1,q-0.25,near,4096,0.0
1.1,q-0.25,near,8192,0.0
1.1,q-0.25,near,16384,0.0
1.1,q-0.25,near,32768,0.0
1.1,q-0.25,near,65536,0.0
1.1,q-0.25,near,131072,0.0
1.1,q-0.25,near,200000,0.0
1.1,q-0.25,independent,1,0.2446249607108147
1.1,q-0.25,independent,2,0.09823535025831316
1.1,q-0.25,independent,4,0.018371418343678614
1.1,q-0.25,independent,8,0.2031712408138321
1.1,q-0.25,independent,16,0.06250224448752845
1.1,q-0.25,independent,32,1.7159955975407981
1.1,q-0.25,independent,64,1.2723670915640073e-09
1.1,q-0.25,independent,128,0.0
1.1,q-0.25,independent,256,0.0
