beta,gamma0,x,empirical,theoretical
0.5,1.0,-0.5771412705653425,0.21557,0.2149125778077967
0.5,1.0,-0.5596311115679499,0.22056,0.21971276875930063
0.5,1.0,-0.5422035033979125,0.22555,0.2246709901685578
0.5,1.0,-0.5258185897347323,0.23054,0.22950396587134125
0.5,1.0,-0.5087537388669182,0.23553,0.23472146715970738
0.5,1.0,-0.4942577030205355,0.24052,0.239306698686731
0.5,1.0,-0.4790338192396687,0.24551,0.24427917401713212
0.5,1.0,-0.4638112105513436,0.2505,0.24941762956246405
0.5,1.0,-0.4501593040930948,0.25549,0.2541720740091038
0.5,1.0,-0.43674595693369694,0.26048,0.25898219105223985
0.5,1.0,-0.4233922045822821,0.26547,0.2639114127490487
0.5,1.0,-0.4095646011412458,0.27046,0.26916728765566855
0.5,1.0,-0.39716477710427445,0.27545,0.274015100685589
0.5,1.0,-0.38491120479412166,0.28044,0.2789337374577451
0.5,1.0,-0.37329396105053875,0.28543,0.2837169077058473
0.5,1.0,-0.3607536448731495,0.29042,0.28901375710083305
0.5,1.0,-0.34858749188066296,0.29541,0.2942875564860997
0.5,1.0,-0.33780683034773235,0.3004,0.2990736770025574
0.5,1.0,-0.32737221997389765,0.30539,0.303808597287039
0.5,1.0,-0.31586854756591304,0.31038,0.3091468007135352
0.5,1.0,-0.3047021704939143,0.31537,0.314448262094911
0.5,1.0,-0.2939785543057764,0.32036,0.31965155768521586
0.5,1.0,-0.2834725249602359,0.32535,0.3248564383741587
0.5,1.0,-0.27400094183533746,0.33034,0.3296401492851707
0.5,1.0,-0.2635701777858193,0.33533,0.33500872885241306
0.5,1.0,-0.2536468517462928,0.34032,0.34021388120913776
0.5,1.0,-0.24477290162367352,0.34531,0.3449491850349981
0.5,1.0,-0.2352923292610821,0.3503,0.35009194981649094
0.5,1.0,-0.22585057626785632,0.35529,0.35529914922903977
0.5,1.0,-0.21622341318664148,0.36028,0.3606957157328045
0.5,1.0,-0.20692363522912077,0.36527,0.36599137955906613
0.5,1.0,-0.19818635925197076,0.37026,0.3710397217008088
0.5,1.0,-0.1903512750730727,0.37525,0.3756260230536931
0.5,1.0,-0.1817907382301592,0.38024,0.3806999126802939
0.5,1.0,-0.1734817980779024,0.38523,0.3856863153937363
0.5,1.0,-0.16522205497127618,0.39022,0.39070201209144917
0.5,1.0,-0.1566623843613174,0.39521,0.39596012234434214
0.5,1.0,-0.14845706677106063,0.4002,0.4010564887034196
0.5,1.0,-0.14114470808776186,0.40519,0.4056429245978158
0.5,1.0,-0.1327030244998983,0.41018,0.4109882456085045
0.5,1.0,-0.1250449687318393,0.41517,0.4158824587156208
0.5,1.0,-0.11710677924708777,0.42016,0.42099902347272317
0.5,1.0,-0.10926506378785562,0.42515,0.4260946740499978
0.5,1.0,-0.10155084615397818,0.43014,0.43114540997939865
0.5,1.0,-0.09424953241654142,0.43513,0.43595851166202665
0.5,1.0,-0.0869413865700656,0.44012,0.440806026763559
0.5,1.0,-0.08027935857369155,0.44511,0.44524936232222473
0.5,1.0,-0.07310780432485989,0.4501,0.4500566894323864
0.5,1.0,-0.06622769691550767,0.45509,0.4546903690301932
0.5,1.0,-0.05872920574883478,0.46008,0.4597625690960397
0.5,1.0,-0.05142949757328669,0.46507,0.4647201399427557
0.5,1.0,-0.04431665891624809,0.47006,0.4695674062037946
0.5,1.0,-0.037024664309308467,0.47505,0.4745514835183831
0.5,1.0,-0.029600622581478945,0.48004,0.4796386781628522
