stage,beta,gamma0,condition,seed,dtype,nonfinite,first_failure_step,first_failure_index,zero_count,max_abs,min_pole
A,1.1,0.1,12,9,float64,0,,,0,8572.214138760351,0.00017730556617046034
A,1.1,0.1,12,9,float32,0,,,0,8572.2138671875,0.0001912921713245197
A,1.1,1.0,13,0,float64,0,,,0,64191.40955320458,1.5578408495642293e-05
A,1.1,1.0,13,0,float32,0,,,0,63501.9375,1.5747551101341628e-05
A,1.1,1.0,13,1,float64,0,,,0,47066.94695133238,2.124633239652951e-05
A,1.1,1.0,13,1,float32,0,,,0,46354.46875,2.157289327620049e-05
A,1.1,1.0,13,2,float64,0,,,0,1586069.2453586936,6.30489496611375e-07
A,1.1,1.0,13,2,float32,0,,,0,1563091.5,6.39757837817001e-07
A,1.1,1.0,13,3,float64,0,,,0,704219.1349557991,1.4200125364460803e-06
A,1.1,1.0,13,3,float32,0,,,0,678323.5,1.4742228646724698e-06
A,1.1,1.0,13,4,float64,0,,,0,78729.72646261318,1.5463226975764854e-05
A,1.1,1.0,13,4,float32,0,,,0,78729.7265625,1.5453496251538468e-05
A,1.1,1.0,13,5,float64,0,,,0,32535.38050535106,4.3665129581205164e-05
A,1.1,1.0,13,5,float32,0,,,0,32535.380859375,4.367431136564903e-05
A,1.1,1.0,13,6,float64,0,,,0,40503.965911330124,2.4688940386319302e-05
A,1.1,1.0,13,6,float32,0,,,0,40596.58984375,2.4632611546948624e-05
A,1.1,1.0,13,7,float64,0,,,0,1425362.5551744262,7.324301336009142e-05
A,1.1,1.0,13,7,float32,0,,,0,1425362.5,7.315079239411659e-05
A,1.1,1.0,13,8,float64,0,,,0,373698.11987480737,1.2710118479253296e-05
A,1.1,1.0,13,8,float32,0,,,0,373698.125,1.2711682591870499e-05
A,1.1,1.0,13,9,float64,0,,,0,55427.32042554077,5.139862592695721e-05
A,1.1,1.0,13,9,float32,0,,,0,55427.3203125,5.1510337966576e-05
A,1.1,10.0,14,0,float64,0,,,0,975295.5051149335,2.384891089413088e-05
A,1.1,10.0,14,0,float32,0,,,0,975295.5,1.411818623786587e-05
A,1.1,10.0,14,1,float64,0,,,0,320186.98156719876,1.0753427689635942e-05
A,1.1,10.0,14,1,float32,0,,,0,320186.96875,9.38171971576196e-06
A,1.1,10.0,14,2,float64,0,,,0,5962912.074909832,3.089341832129833e-05
A,1.1,10.0,14,2,float32,0,,,0,5962912.0,3.183286844254951e-05
A,1.1,10.0,14,3,float64,0,,,0,10027219.660088537,9.972854186912627e-08
A,1.1,10.0,14,3,float32,0,,,0,3447482.75,2.9006671731224287e-07
A,1.1,10.0,14,4,float64,0,,,0,1694714.333486123,3.107184076078795e-05
A,1.1,10.0,14,4,float32,0,,,0,1694714.375,2.980627100335198e-05
A,1.1,10.0,14,5,float64,0,,,0,154902.98563008194,1.739612133455637e-05
A,1.1,10.0,14,5,float32,0,,,0,154902.984375,2.3694889760506044e-05
A,1.1,10.0,14,6,float64,0,,,0,917109.3921511447,1.973976465485805e-05
A,1.1,10.0,14,6,float32,0,,,0,917109.375,2.038877664567451e-05
A,1.1,10.0,14,7,float64,0,,,0,9777258.66681732,4.922548004238081e-05
A,1.1,10.0,14,7,float32,0,,,0,9777259.0,5.288525268731803e-05
A,1.1,10.0,14,8,float64,0,,,0,26668479.32085084,3.035102457626948e-05
A,1.1,10.0,14,8,float32,0,,,0,26668480.0,3.0442080225512314e-05
A,1.1,10.0,14,9,float64,0,,,0,896569.2412357121,1.6269842966210035e-06
A,1.1,10.0,14,9,float32,0,,,0,896569.25,1.569582392946245e-06
A,1.5,0.1,15,0,float64,0,,,0,10372.286371430464,9.641075854371906e-05
A,1.5,0.1,15,0,float32,0,,,0,10364.41015625,9.648402663664513e-05
A,1.5,0.1,15,1,float64,0,,,0,160106.56615213936,0.0002015467424580919
A,1.5,0.1,15,1,float32,0,,,0,160106.5625,0.000201515347479031
A,1.5,0.1,15,2,float64,0,,,0,33520.995801470846,2.9832049311062647e-05
A,1.5,0.1,15,2,float32,0,,,0,33371.99609375,2.996524306730919e-05
A,1.5,0.1,15,3,float64,0,,,0,11349.91272970133,8.810640409562254e-05
A,1.5,0.1,15,3,float32,0,,,0,11361.0322265625,8.802016707853966e-05
A,1.5,0.1,15,4,float64,0,,,0,37828.54684766083,2.64350624885612e-05
