stage,beta,gamma0,condition,seed,dtype,start,stop,status,n,median,estimated_scale,ks,tail10,tail100,theoretical_scale,lyapunov,theoretical_lyapunov,log_sensitivity
C,1.0001,0.017318949386946766,0,8,float64,150000,200000,記述的評価,50000,-0.0015326600677686149,0.003153019403997496,0.4334782241069427,0.02252,0.00246,0.017318949386946766,0.012850634149967536,0.03444136656343561,642.5317074983768
C,1.0001,0.017318949386946766,0,8,float32,0,200000,記述的評価,200000,-0.003376989159733057,0.012155492091551423,0.13468318041135152,0.049005,0.00528,0.017318949386946766,0.028429494103663265,0.03444136656343561,5685.898820732653
C,1.0001,0.017318949386946766,0,8,float32,0,50000,記述的評価,50000,-0.003738745697773993,0.01763023983221501,0.187784584413831,0.08834,0.01052,0.017318949386946766,0.05372596903178667,0.03444136656343561,2686.2984515893336
C,1.0001,0.017318949386946766,0,8,float32,50000,100000,記述的評価,50000,0.00503854313865304,0.00620682691805996,0.4232389357313175,0.03734,0.0029,0.017318949386946766,0.017689269696864653,0.03444136656343561,884.4634848432327
C,1.0001,0.017318949386946766,0,8,float32,100000,150000,記述的評価,50000,-0.0058474126271903515,0.005605782629572786,0.2975854299615908,0.04008,0.00426,0.017318949386946766,0.02377029738359316,0.03444136656343561,1188.514869179658
C,1.0001,0.017318949386946766,0,8,float32,150000,200000,記述的評価,50000,-0.010614979080855846,0.008434916060650721,0.4412831804113515,0.03026,0.00344,0.017318949386946766,0.018532440302408585,0.03444136656343561,926.6220151204293
C,1.0001,0.017318949386946766,0,9,float64,0,200000,記述的評価,200000,-0.003118166106521908,0.009767423586987919,0.16694159575275647,0.05061,0.00509,0.017318949386946766,0.027784708756991627,0.03444136656343561,5556.941751398325
C,1.0001,0.017318949386946766,0,9,float64,0,50000,記述的評価,50000,-0.004213803399046143,0.01269204091296719,0.23629672071486074,0.03288,0.00386,0.017318949386946766,0.019656870369036916,0.03444136656343561,982.8435184518457
C,1.0001,0.017318949386946766,0,9,float64,50000,100000,記述的評価,50000,-0.007869976107765355,0.02051717052039301,0.28655952755299297,0.0704,0.00772,0.017318949386946766,0.04174493257400955,0.03444136656343561,2087.2466287004772
C,1.0001,0.017318949386946766,0,9,float64,100000,150000,記述的評価,50000,0.0014529158439338132,0.0024339282219538543,0.43087542029782533,0.02988,0.0019,0.017318949386946766,0.012580288746856213,0.03444136656343561,629.0144373428107
C,1.0001,0.017318949386946766,0,9,float64,150000,200000,記述的評価,50000,-0.005297298784788434,0.006133153242174717,0.3287487094705473,0.06928,0.00688,0.017318949386946766,0.037156743338063854,0.03444136656343561,1857.8371669031928
C,1.0001,0.017318949386946766,0,9,float32,0,200000,記述的評価,200000,0.0013542290544137359,0.014913585619069636,0.08473680784837562,0.06227,0.006415,0.017318949386946766,0.03450424517328837,0.03444136656343561,6900.849034657675
C,1.0001,0.017318949386946766,0,9,float32,0,50000,記述的評価,50000,0.006724985782057047,0.031145462533459067,0.1584239449204527,0.10252,0.0107,0.017318949386946766,0.05629416585042774,0.03444136656343561,2814.708292521387
C,1.0001,0.017318949386946766,0,9,float32,50000,100000,記述的評価,50000,0.0033923013834282756,0.006155253111501224,0.43082315942295707,0.0462,0.00474,0.017318949386946766,0.026323813768384944,0.03444136656343561,1316.1906884192472
