stage,group,beta,gamma0,condition,seed,dtype,kind,x,argument,y,step,sample_index,pole_distance_fp,pole_distance_mp,reference,argument_error,multiplication_effect,tan_evaluation_error,total_error,scaled_error
B,wide,0.5,0.1,0,0,float64,pole,-3.3442025162145685,-1.6721012581072843,9.837396343137172,0,2687,0.10130493131238771,0.101304931312387652527563860477383933639559221210884589512527703846091796856895500685982587328941466,9.837396343137172907302377622847735396129735831962558759460560665723684429879878492065730661777854101,0.0,0.0,0.0000000000000008683517113032688493640252436444625587594605606657236844298798784920657306617778541008526336375318786,0.0000000000000008683517113032688493640252436444625587594605606657236844298798784920657306617778541008526336375318786,8.82704814378099e-17
B,wide,0.5,0.1,0,0,float64,pole,-3.3492513493844807,-1.6746256746922403,9.59655361126344,0,2014,0.10382934789734377,0.103829347897343709890906412457551560974153947773384589512527703846091796856895500685982587328941466,9.596553611263440559852325591094958279837349735909078638017147528959893310784437410414132159773876225,0.0,0.0,0.0000000000000005841652193929293925506961143843465786380171475289598933107844374104141321597738762249148189090447086,0.0000000000000005841652193929293925506961143843465786380171475289598933107844374104141321597738762249148189090447086,6.08723968057967e-17
B,wide,0.5,0.1,0,0,float64,pole,-28.495844855373697,-14.247922427686849,8.991949360436525,1,548,0.11075548653277956,0.1107554865327790057053534733054317728522396559370238056127493346148261717120595061738432859604731942,8.991949360436525516581096649557701214888755277194843674662616006681629473235348593785919713593266437,0.0,0.0,0.0000000000000004760402961032617603388816751990698436746626160066816294732353485937859197135932664367125908856932679,0.0000000000000004760402961032617603388816751990698436746626160066816294732353485937859197135932664367125908856932679,5.2940722530954264e-17
B,wide,0.5,0.1,0,0,float64,pole,-3.375727035775979,-1.6878635178879895,8.503044867416463,1,415,0.11706719109309294,0.117067191093092875905158708466186873292955827656197089512527703846091796856895500685982587328941466,8.503044867416463867401440626934057099537091326969369416937669932557125411018692998434177424273235461,0.0,0.0,0.0000000000000007189996233200578745433847475769693694169376699325571254110186929984341774242732354613799208249740947,0.0000000000000007189996233200578745433847475769693694169376699325571254110186929984341774242732354613799208249740947,8.455790067335212e-17
B,wide,0.5,0.1,0,0,float64,pole,2.9074299355143287,1.4537149677571644,8.502006457066473,1,2385,0.1170813590377322,0.117081359037732263443030914512492962503400373515677910487472296153908203143104499314017412671058534,8.502006457066473815630689379956213507639020431648411906657342710637698271778617744861027789174808965,0.0,0.0,0.0000000000000005272664393416714051103459296113359119066573427106376982717786177448610277891748089646049521966910029,0.0000000000000005272664393416714051103459296113359119066573427106376982717786177448610277891748089646049521966910029,6.201670652736708e-17
B,wide,0.5,0.1,0,0,float64,pole,9.712640542439724,4.856320271219862,-6.899716058708012,0,3908,0.1439312908351722,0.143931290835172014986247325235887623357871389218591268537583111538275390570686502057947761986824398,-6.899716058708012819964609971941352833929583152320713774445500806075160817019956393525715150592193444,0.0,0.0,0.0000000000000004082936032691233763591676202616957137744455008060751608170199563935257151505921934441888386762992064,0.0000000000000004082936032691233763591676202616957137744455008060751608170199563935257151505921934441888386762992064,5.91754211035718e-17
B,wide,0.5,0.1,0,0,float64,pole,-3.447260097689751,-1.7236300488448755,6.492034521437429,1,2829,0.15283372204997892,0.152833722049978853848374656937520704841646623554634589512527703846091796856895500685982587328941466,6.492034521437428626452632456569812334853015481906605353818193762274606629592448191197947324786593303,0.0,0.0,0.00000000000000002487217555891827579609791225246839464618180623772539337040755180880205267521340669720732327396924501,0.00000000000000002487217555891827579609791225246839464618180623772539337040755180880205267521340669720732327396924501,3.83118350292001e-18
B,wide,0.5,0.1,0,0,float64,pole,-2.827188982904903,-1.4135944914524514,-6.30876174113787,0,2885,0.15720183534244514,0.157201835342445201019399773084588595056500959453177910487472296153908203143104499314017412671058534,-6.308761741137869364655235178457871359303680164181721164530181282584757117479330304839133545799245865,0.0,0.0,0.000000000000000440474177092158868629023346203005778835469818717415242882520669695160866454200754135257758243248345,0.000000000000000440474177092158868629023346203005778835469818717415242882520669695160866454200754135257758243248345,6.98194344890117e-17
B,wide,0.5,0.1,0,0,float64,pole,-21.676556759876636,-10.838278379938318,-6.30492582384125,0,51,0.1572959076259579,0.1572959076259583378302417744735496588227833275003703734123060730773574220017314951981218886974097379,-6.304925823841250225196254463589439729204775445879829659595298088471139273049712524658313561437275966,0.0,0.0,0.000000000000000004315971013347307780733706109942329659595298088471139273049712524658313561437275965628603285358377175,0.000000000000000004315971013347307780733706109942329659595298088471139273049712524658313561437275965628603285358377175,6.845395384394578e-19
B,wide,0.5,0.1,0,0,float64,pole,-3.459602349587753,-1.7298011747938764,6.236025251400822,0,2507,0.15900484799897985,0.159004847998979786768204777164354674196276140156197089512527703846091796856895500685982587328941466,6.236025251400821625116601411386382887914444503626375549840946959384595877615046942576546135710941686,0.0,0.0,0.00000000000000002000363013973181216900083869949862445015905304061540412238495305742345386428905831415320522023540216,0.00000000000000002000363013973181216900083869949862445015905304061540412238495305742345386428905831415320522023540216,3.2077532295492745e-18
