suite,eta,kappa_index,kappa,snapshot,bins,batch_count,hx_bits_mean,hx_bits_batch_sd,hy_bits_mean,hy_bits_batch_sd,hxy_bits_mean,hxy_bits_batch_sd,hcond_bits_mean,hcond_bits_batch_sd,mi_bits_mean,mi_bits_batch_sd,mismatch_probability_mean,mismatch_probability_batch_sd,fano_bound_bits_mean,fano_bound_bits_batch_sd,sync_fraction_mean,sync_fraction_batch_sd,median_logd_mean,median_logd_batch_sd,invalid_count_mean,invalid_count_batch_sd,valid_count_mean,valid_count_batch_sd,shuffle_mi_bits_mean,shuffle_mi_bits_batch_sd,ever_entered_fraction_mean,ever_entered_fraction_batch_sd,reexit_fraction_mean,reexit_fraction_batch_sd,mean_exit_count_mean,mean_exit_count_batch_sd
main,1e-06,7,0.3985318486896931,0,16,4,3.9987633282797246,0.000491872116592795,3.9987633282797246,0.000491872116592795,7.9752272600781104,0.003084649051044608,3.9764639317983863,0.0033902293357498535,0.022299396481338052,0.0037357899416335413,0.93804931640625,0.001863322451473846,3.999963752292774,6.0439837363770617e-05,0.0,0.0,-0.41371581344517555,0.007406086252428738,0.0,0.0,4096.0,0.0,0.02246576320232574,0.0017283984198218235,0.0,0.0,0.0,0.0,0.0,0.0
main,1e-06,7,0.3985318486896931,0,32,4,4.9973142105830375,0.0004627479287891864,4.9973142105830375,0.0004627479287891864,9.901786889510063,0.002188722080764019,4.904472678927027,0.0021949443559454032,0.09284153165601117,0.002296372878207402,0.96844482421875,0.0020559578607844695,4.999922996142708,6.896749670333766e-05,0.0,0.0,-0.41371581344517555,0.007406086252428738,0.0,0.0,4096.0,0.0,0.0857854187280922,0.005471992198915271,0.0,0.0,0.0,0.0,0.0,0.0
main,1e-06,7,0.3985318486896931,100,8,4,2.9987181169479373,0.0007959586110529923,2.9987181169479373,0.0007959586110529923,3.017764511937091,0.009599421749677694,0.019046394989153614,0.010308056883722942,2.979671721958784,0.011028611686380542,0.00177001953125,0.0010041473534548393,0.023348047638520737,0.01222675685995143,0.96124267578125,0.0029118311625675204,-45.596354735299656,0.19670868291747484,0.0,0.0,4096.0,0.0,0.0050986732119917555,0.0012863294014888998,0.99871826171875,0.00041694949405760083,0.47760009765625,0.0022761012810786126,0.92413330078125,0.016261030268246435
main,1e-06,7,0.3985318486896931,100,16,4,3.996817295147849,0.0014881225359178868,3.996817295147849,0.0014881225359178868,4.029833983007178,0.009296109716960169,0.03301668785932976,0.010750847881738631,3.963800607288519,0.012213632622877606,0.0032958984375,0.001082693253226731,0.04460703237596268,0.013122354935739985,0.96124267578125,0.0029118311625675204,-45.596354735299656,0.19670868291747484,0.0,0.0,4096.0,0.0,0.02282806564282369,0.0024140499728316413,0.99871826171875,0.00041694949405760083,0.47760009765625,0.0022761012810786126,0.92413330078125,0.016261030268246435
main,1e-06,7,0.3985318486896931,100,32,4,4.993470900793596,0.002092341865374042,4.993470900793596,0.002092341865374042,5.040940550762407,0.012990473506507253,0.04746964996881209,0.01382409675197274,4.946001250824782,0.014906867177771914,0.00518798828125,0.0015360177480612692,0.07227075768400096,0.019617557212393184,0.96124267578125,0.0029118311625675204,-45.596354735299656,0.19670868291747484,0.0,0.0,4096.0,0.0,0.09114525598379997,0.008375521912945038,0.99871826171875,0.00041694949405760083,0.47760009765625,0.0022761012810786126,0.92413330078125,0.016261030268246435
main,1e-06,7,0.3985318486896931,1000,8,4,2.999191735451335,0.00015284269459644957,2.999191735451335,0.00015284269459644957,2.999191735451335,0.00015284269459644957,0.0,0.0,2.999191735451335,0.00015284269459644957,0.0,0.0,0.0,0.0,1.0,0.0,-406.2792651067266,0.8718599655405509,0.0,0.0,4096.0,0.0,0.005013316665883005,0.0015054877498652676,1.0,0.0,0.48870849609375,0.0021037216723161726,1.05816650390625,0.019056918259853135
main,1e-06,7,0.3985318486896931,1000,16,4,3.997025389621184,0.0015869162312729217,3.997025389621184,0.0015869162312729217,3.997025389621184,0.0015869162312729217,0.0,0.0,3.997025389621184,0.0015869162312729217,0.0,0.0,0.0,0.0,1.0,0.0,-406.2792651067266,0.8718599655405509,0.0,0.0,4096.0,0.0,0.024220289663604566,0.0029555490930697225,1.0,0.0,0.48870849609375,0.0021037216723161726,1.05816650390625,0.019056918259853135
main,1e-06,7,0.3985318486896931,1000,32,4,4.993752775773745,0.002455719729701263,4.993752775773745,0.002455719729701263,4.993752775773745,0.002455719729701263,0.0,0.0,4.993752775773745,0.002455719729701263,0.0,0.0,0.0,0.0,1.0,0.0,-406.2792651067266,0.8718599655405509,0.0,0.0,4096.0,0.0,0.09337994283980455,0.006567603431760592,1.0,0.0,0.48870849609375,0.0021037216723161726,1.05816650390625,0.019056918259853135
main,1e-06,7,0.3985318486896931,7500,8,4,2.999407547249893,0.0003374916051234221,2.999407547249893,0.0003374916051234221,2.999407547249893,0.0003374916051234221,0.0,0.0,2.999407547249893,0.0003374916051234221,0.0,0.0,0.0,0.0,1.0,0.0,-3010.826065752812,1.413353838292775,0.0,0.0,4096.0,0.0,0.004755799154398055,0.0012521311394661284,1.0,0.0,0.48870849609375,0.0021037216723161726,1.05816650390625,0.019056918259853135
main,1e-06,7,0.3985318486896931,7500,16,4,3.997582750083126,0.0005471148426046445,3.997582750083126,0.0005471148426046445,3.997582750083126,0.0005471148426046445,0.0,0.0,3.997582750083126,0.0005471148426046445,0.0,0.0,0.0,0.0,1.0,0.0,-3010.826065752812,1.413353838292775,0.0,0.0,4096.0,0.0,0.019994858634997836,0.0025606023137393383,1.0,0.0,0.48870849609375,0.0021037216723161726,1.05816650390625,0.019056918259853135
