trajectory,s0,common_mean,common_theory,k0_positive_fraction_w256,k0_positive_fraction_w4096,k1_positive_fraction_w256,k1_positive_fraction_w4096,k2_positive_fraction_w256,k2_positive_fraction_w4096,k3_positive_fraction_w256,k3_positive_fraction_w4096,k4_positive_fraction_w256,k4_positive_fraction_w4096,k5_positive_fraction_w256,k5_positive_fraction_w4096,k6_positive_fraction_w256,k6_positive_fraction_w4096,k7_positive_fraction_w256,k7_positive_fraction_w4096,k8_positive_fraction_w256,k8_positive_fraction_w4096
222,-0.27316878239837356,1.1993672643386246,1.1942327179468006,1.0,1.0,0.828125,1.0,0.7109375,1.0,0.5234375,0.875,0.5078125,0.5,0.453125,0.375,0.3125,0.0,0.0,0.0,0.0,0.0
223,-0.10394186862731106,1.19253143634824,1.1942327179468006,1.0,1.0,0.8515625,1.0,0.7109375,1.0,0.4921875,0.75,0.4375,0.5,0.375,0.125,0.25,0.0,0.0,0.0,0.0,0.0
224,25.04406798585254,1.1881104724117932,1.1942327179468006,1.0,1.0,0.796875,1.0,0.6484375,0.875,0.5,0.5,0.4375,0.375,0.3984375,0.25,0.296875,0.125,0.0078125,0.0,0.0,0.0
225,-0.5058036777770333,1.1769276786125034,1.1942327179468006,1.0,1.0,0.765625,1.0,0.6171875,1.0,0.4375,0.375,0.40625,0.25,0.390625,0.125,0.2421875,0.0,0.0078125,0.0,0.0,0.0
226,-1.7032152339173154,1.2031447690487111,1.1942327179468006,1.0,1.0,0.8359375,1.0,0.7421875,1.0,0.578125,0.875,0.5234375,0.75,0.4765625,0.5,0.28125,0.0,0.0,0.0,0.0,0.0
227,2.3162461915375343,1.2155280494705072,1.1942327179468006,1.0,1.0,0.8046875,1.0,0.71875,1.0,0.6015625,0.625,0.5625,0.625,0.5234375,0.625,0.3515625,0.25,0.0,0.0,0.0,0.0
228,0.8356912419266717,1.1956393083566474,1.1942327179468006,1.0,1.0,0.8359375,1.0,0.6953125,0.875,0.5078125,0.75,0.4765625,0.5,0.40625,0.375,0.2890625,0.0,0.0,0.0,0.0,0.0
229,0.21505897922498374,1.200146479517044,1.1942327179468006,1.0,1.0,0.8125,1.0,0.6875,1.0,0.5703125,0.75,0.5390625,0.5,0.4921875,0.375,0.3203125,0.125,0.015625,0.0,0.0,0.0
230,-0.670997436020998,1.2079472453127358,1.1942327179468006,1.0,1.0,0.8828125,1.0,0.7578125,1.0,0.5703125,0.875,0.484375,0.625,0.4453125,0.5,0.328125,0.0,0.0,0.0,0.0,0.0
231,0.02020999313945311,1.208566088900328,1.1942327179468006,1.0,1.0,0.8203125,1.0,0.6953125,1.0,0.515625,0.875,0.5078125,0.625,0.46875,0.5,0.359375,0.0,0.0078125,0.0,0.0,0.0
