model,seed,rmse,mae,r2
tm_instant,530017,0.08401057586720291,0.07850196195003482,0.11777789280761808
tm_instant,530018,0.09403422444165843,0.0900536781477887,-0.10530442079302405
tm_instant,530019,0.09101651267330645,0.07548851345948869,-0.035500697401269043
tm_instant,530020,0.09838985789829935,0.08253107950485938,-0.21007051715594227
tm_instant,530021,0.09172773587167148,0.07730756152434291,-0.051747191017890826
tm_instant,530022,0.09078408313441345,0.07730157508454519,-0.030218718819511547
tm_instant,530023,0.09168857051951683,0.07861063137868553,-0.05084924548905123
tm_instant,530024,0.08536761963429287,0.07262075373646788,0.08904618974683665
tm_instant,530025,0.07560510339535438,0.06930741293497686,0.28548354257222175
tm_instant,530026,0.09582464701638554,0.08213476498576455,-0.14779537197686077
tm_instant,530027,0.08964860943448731,0.08185430352976374,-0.004609146692155841
tm_instant,530028,0.08500970806188754,0.06732571360563246,0.09666869190408145
tm_instant,530029,0.09617745898779116,0.07638260147645433,-0.15626295216853148
