split,seed,alpha,initial_state,location,scale,repeated,near_1e12,near_1e10,near_1e8
train,510015,0.42,1.6985370459013593,-0.03415853606075024,0.8453913260346795,False,0,0,0
train,510015,0.5,-0.226805568204389,-0.016620854697550896,0.9864221836179294,False,0,0,0
train,510015,0.58,-1.1012901945186144,-0.0697440216486216,1.196190836370596,False,0,0,0
train,510015,0.66,-0.17398329002786866,0.014817741508050968,1.383215060017568,False,0,0,0
train,510016,0.34,0.11791861474556758,0.0046641422459360255,0.716097511664593,False,0,0,0
train,510016,0.42,5.9398017106275685,0.007120936107386351,0.8574118899411352,False,0,0,0
train,510016,0.5,14.299173898168165,0.03068793396705602,1.0041806119978134,False,0,0,0
train,510016,0.58,-0.37488131840277433,0.015925719974872674,1.142443231436858,False,0,0,0
train,510016,0.66,-4.851330129924079,-0.050188124760779315,1.3570626490473425,False,0,0,0
train,510017,0.34,-0.4251531905559238,-0.012242077662740082,0.7353196646852769,False,0,0,0
train,510017,0.42,0.46773773287271175,0.022100945597368627,0.8688506838032515,False,0,0,0
train,510017,0.5,-3.0846477820191915,-0.013056620818992531,0.9676083935873627,False,0,0,0
train,510017,0.58,0.7259424938846707,-0.0171275902157028,1.1764304667963157,False,0,0,0
train,510017,0.66,-0.22652161342051075,-0.015813113274466224,1.397851935772386,False,0,0,0
train,510018,0.34,0.42674881621717586,-0.017113656543318687,0.7089882385785126,False,0,0,0
train,510018,0.42,2.068129040556632,-0.0014759763670508762,0.8546868028219707,False,0,0,0
train,510018,0.5,2.533331994200258,0.0036629071357114906,0.9991534422519761,False,0,0,0
train,510018,0.58,2.9883289243073543,-0.02886282077760429,1.1610436506946176,False,0,0,0
train,510018,0.66,1.6246077833880506,-0.03946316818933394,1.3634660024508984,False,0,0,0
train,510019,0.34,0.5466737476163992,0.006235466907918284,0.6898290393804418,False,0,0,0
train,510019,0.42,0.32399829394091934,0.005036250303916525,0.8660716976872449,False,0,0,0
train,510019,0.5,-831.778533718955,-0.044952942933384366,0.9875577034559377,False,0,0,0
train,510019,0.58,1.9348865129607453,-0.03435890174829343,1.1918096702181282,False,0,0,0
train,510019,0.66,-4.038800965464872,0.04309340675662145,1.3941462835442693,False,0,0,0
train,510020,0.34,0.4346610808387434,-0.019151868084129817,0.6982789600652834,False,0,0,0
